reference,setting,auditor,metric,matched_auditor_rows,tasks,candidate_minus_reference,ci_low,ci_high,resampling
static,user,gpt-5.6-sol,RH,60,20,-1.6666666666666667,-13.333333333333334,8.333333333333334,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,W,60,20,0.45,-1.95,2.8333333333333335,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,S,60,20,0.5166666666666667,-2.1,3.25,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,H,60,20,1.8999999999999997,-1.1444444444444448,5.072222222222222,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,A,60,20,-1.8833333333333333,-7.233333333333333,3.6,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,WS,60,20,-0.06666666666666667,-2.55,2.55,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,WA,60,20,2.3333333333333335,-3.216666666666667,7.666666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,SH,60,20,-1.383333333333333,-3.466666666666667,0.48888888888888904,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,gpt-5.6-sol,HA,60,20,3.783333333333333,-2.5777777777777784,10.22777777777778,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,RH,60,20,-3.3333333333333335,-15.0,6.666666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,W,60,20,0.45,-1.9833333333333334,2.816666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,S,60,20,2.4166666666666665,0.0,4.916666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,H,60,20,2.4499999999999997,-0.6000000000000002,5.311111111111111,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,A,60,20,1.55,-2.45,5.516666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,WS,60,20,-1.9666666666666666,-4.25,0.2833333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,WA,60,20,-1.1,-4.933333333333334,2.8,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,SH,60,20,-0.03333333333333292,-2.155555555555554,1.983333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,user,claude-opus-5,HA,60,20,0.8999999999999996,-2.433333333333333,4.35,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,pooled,RH,120,20,-0.8333333333333334,-7.5,6.666666666666667,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
