setting,task_id,replicate,coverage,original_admitted,candidate_admitted,original_W,candidate_W,delta_W,original_S,candidate_S,delta_S,original_H,candidate_H,delta_H,original_A,candidate_A,delta_A,original_WS,candidate_WS,delta_WS,original_WA,candidate_WA,delta_WA,original_SH,candidate_SH,delta_SH,original_HA,candidate_HA,delta_HA
user,da-13-1,3,none->none,0,0,91.0,65.0,-26.0,86.5,49.5,-37.0,86.5,51.833333333333336,-34.666666666666664,74,38,-36,4.5,15.5,11.0,17.0,27.0,10.0,0.0,-2.3333333333333357,-2.3333333333333357,12.5,13.833333333333336,1.3333333333333357
user,da-13-3,1,admitted->none,1,0,100.0,100.0,0.0,100.0,93.0,-7.0,100.0,93.83333333333334,-6.166666666666657,91,92,1,0.0,7.0,7.0,9.0,8.0,-1.0,0.0,-0.8333333333333357,-0.8333333333333357,9.0,1.8333333333333357,-7.166666666666664
user,da-13-3,2,admitted->none,1,0,100.0,100.0,0.0,100.0,100.0,0.0,97.66666666666666,100.0,2.333333333333343,84.5,85.5,1.0,0.0,0.0,0.0,15.5,14.5,-1.0,2.3333333333333357,0.0,-2.3333333333333357,13.166666666666664,14.5,1.3333333333333357
user,da-13-3,3,admitted->none,1,0,100.0,100.0,0.0,95.5,97.5,2.0,100.0,97.5,-2.5,76.5,76.5,0.0,4.5,2.5,-2.0,23.5,23.5,0.0,-4.5,0.0,4.5,23.5,21.0,-2.5
user,da-13-5,1,none->none,0,0,100.0,100.0,0.0,90.0,85.0,-5.0,88.33333333333334,80.0,-8.333333333333343,89,89,0,10.0,15.0,5.0,11.0,11.0,0.0,1.6666666666666643,5.0,3.3333333333333357,-0.6666666666666643,-9.0,-8.333333333333336
user,da-13-5,2,none->none,0,0,100.0,100.0,0.0,90.0,92.5,2.5,97.5,90.83333333333334,-6.666666666666657,87,83.5,-3.5,10.0,7.5,-2.5,13.0,16.5,3.5,-7.5,1.6666666666666643,9.166666666666664,10.5,7.333333333333336,-3.1666666666666643
user,da-13-5,3,admitted->admitted,1,1,100.0,100.0,0.0,90.0,85.0,-5.0,89.16666666666666,88.33333333333333,-0.8333333333333286,88.5,83,-5.5,10.0,15.0,5.0,11.5,17.0,5.5,0.8333333333333357,-3.3333333333333286,-4.166666666666664,0.6666666666666643,5.333333333333329,4.666666666666664
user,da-13-6,1,none->none,0,0,100.0,100.0,0.0,70.0,95.0,25.0,63.333333333333336,88.33333333333333,24.999999999999993,86.5,79,-7.5,30.0,5.0,-25.0,13.5,21.0,7.5,6.666666666666664,6.666666666666671,7.105427357601002e-15,-23.166666666666664,9.333333333333329,32.49999999999999
user,da-13-6,2,admitted->none,1,0,100.0,90.0,-10.0,80.0,70.0,-10.0,82.5,86.66666666666667,4.166666666666671,64,84.5,20.5,20.0,20.0,0.0,36.0,5.5,-30.5,-2.5,-16.66666666666667,-14.166666666666671,18.5,2.1666666666666714,-16.33333333333333
user,da-13-6,3,none->none,0,0,100.0,90.0,-10.0,65.0,65.0,0.0,76.66666666666667,66.66666666666667,-10.0,88.5,64,-24.5,35.0,25.0,-10.0,11.5,26.0,14.5,-11.666666666666671,-1.6666666666666679,10.000000000000004,-11.833333333333329,2.666666666666668,14.499999999999996
