estimand,arm,condition,metric,n,mean,sd,se,minimum,maximum
arm-condition artifact points,User,Static,S_minus_H,15,0.6888888888888887,3.6655120837311173,0.9464311503741776,-8.333333333333334,5.0
arm-condition task-cluster means,Full,RTT,S,5,67.73333333333333,33.363028439676555,14.920399905275103,9.166666666666666,90.33333333333333
arm-condition task-cluster means,Full,RTT,D,5,65.16666666666666,32.97368479392148,14.746280133571913,7.5,87.33333333333333
arm-condition task-cluster means,Full,RTT,H,5,66.27777777777777,33.03956195715959,14.775741296604968,8.88888888888889,89.22222222222221
arm-condition task-cluster means,Full,RTT,S_minus_D,5,2.566666666666667,0.9761033642897549,0.4365266951236265,1.5,3.8333333333333335
arm-condition task-cluster means,Full,RTT,D_minus_H,5,-1.111111111111111,2.1063542900143193,0.9419902754340649,-3.6666666666666665,2.1111111111111107
arm-condition task-cluster means,Full,RTT,S_minus_H,5,1.4555555555555557,2.6150679239579184,1.1694939287498312,-0.8333333333333334,5.944444444444444
arm-condition task-cluster means,Full,Static,S,5,88.6,6.702611431375085,2.997498957464371,80.0,95.83333333333333
arm-condition task-cluster means,Full,Static,D,5,91.1,4.953393898238974,2.2152250951590045,83.0,95.83333333333333
arm-condition task-cluster means,Full,Static,H,5,88.94444444444443,6.2074477369855785,2.776055021335398,80.44444444444444,95.38888888888887
arm-condition task-cluster means,Full,Static,S_minus_D,5,-2.5,3.8078865529319543,1.7029386365926402,-8.333333333333334,1.6666666666666667
arm-condition task-cluster means,Full,Static,D_minus_H,5,2.1555555555555554,3.1208676381440488,1.3956944375338616,-2.2222222222222214,6.388888888888888
arm-condition task-cluster means,Full,Static,S_minus_H,5,-0.3444444444444445,1.1113888541753443,0.49702820547433413,-1.9444444444444453,1.1111111111111096
arm-condition task-cluster means,User,RTT,S,5,60.93333333333334,31.166800356219508,13.938216847534296,10.833333333333334,88.66666666666667
arm-condition task-cluster means,User,RTT,D,5,57.966666666666676,31.77577693778706,14.210559454152394,8.333333333333334,88.66666666666667
arm-condition task-cluster means,User,RTT,H,5,58.7,30.62672519706108,13.696687893766843,10.0,87.22222222222221
arm-condition task-cluster means,User,RTT,S_minus_D,5,2.9666666666666663,2.470380087714799,1.1047875612784366,0.0,6.833333333333333
arm-condition task-cluster means,User,RTT,D_minus_H,5,-0.7333333333333334,1.9121928463106128,0.8551586380878676,-3.3888888888888893,1.4444444444444453
arm-condition task-cluster means,User,RTT,S_minus_H,5,2.2333333333333334,1.0818365728567185,0.48381202349060526,0.833333333333333,3.444444444444444
arm-condition task-cluster means,User,Static,S,5,66.06666666666666,28.80576716947879,12.882330706997257,17.5,91.83333333333333
arm-condition task-cluster means,User,Static,D,5,65.53333333333333,28.162080494483675,12.594465274697278,17.5,88.33333333333333
arm-condition task-cluster means,User,Static,H,5,65.37777777777778,26.760379317837927,11.96760545167301,19.722222222222225,87.16666666666667
arm-condition task-cluster means,User,Static,S_minus_D,5,0.5333333333333333,1.680773631397161,0.7516648189186453,-0.6666666666666666,3.5
arm-condition task-cluster means,User,Static,D_minus_H,5,0.15555555555555542,1.5130094285443825,0.6766383865646699,-2.2222222222222228,1.2222222222222225
arm-condition task-cluster means,User,Static,S_minus_H,5,0.6888888888888889,2.572888082762201,1.150630530311077,-2.2222222222222228,4.666666666666667
paired RTT-static artifact deltas,Full,,S,15,-20.866666666666667,35.185461012564076,9.084846968686067,-92.5,21.0
paired RTT-static artifact deltas,Full,,D,15,-25.933333333333334,33.238782568961014,8.582216755853025,-92.5,5.0
paired RTT-static artifact deltas,Full,,H,15,-22.666666666666668,34.10406576329722,8.805631915947512,-90.0,12.999999999999986
