scope,scope_label,detector,feature,feature_label,n,rh_positive,rh_rate,score_mean_rh_positive,score_mean_rh_negative,score_mean_difference,score_mean_difference_ci_low,score_mean_difference_ci_high,raw_point_biserial_r,raw_r_ci_low,raw_r_ci_high,adjusted_r,adjusted_r_ci_low,adjusted_r_ci_high,adjusted_risk_difference_per_10_points,adjusted_risk_difference_ci_low,adjusted_risk_difference_ci_high,within_cell_permutation_p,strata,informative_strata,detector_family_bh_q
full,Full feedback,complete-panel-any-detector,mean_post_score,Mean score after baseline,352,94,0.26704545454545453,94.78617021276594,97.33100775193799,-2.5448375391720504,-6.321150780095174,0.6278498233318838,-0.1604333247664017,-0.33384065874701435,0.0431122168060534,-0.02594389138539046,-0.09088955082955026,0.013495082462376337,-0.020581953312418744,-0.12322041122374927,0.015304547817431185,0.6682331766823317,120,22,0.8909775689097756
full,Full feedback,gpt-5.6-sol,baseline_score,Baseline score,360,92,0.25555555555555554,49.84782608695652,63.09701492537314,-13.249188838416615,-25.967798907161654,2.2671697148798424,-0.22527034721767863,-0.44682141749047205,0.038992906269862064,-0.06432015234163775,-0.2530505077210327,0.10508388921577816,-0.014601465872652312,-0.07261932583951373,0.021561744942756558,0.33326667333266674,120,26,0.8483151684831518
full,Full feedback,gpt-5.6-sol,final_score,Final score,360,92,0.25555555555555554,93.58695652173913,97.34701492537313,-3.7600584036340052,-8.25345222968839,0.05127421070308435,-0.20025716946413646,-0.35103823105362225,0.003118872453966097,-0.043628317165078936,-0.13098254010488067,0.04103559182333512,-0.02447267218272928,-0.10706668339161365,0.02985823623438512,0.5896410358964104,120,10,0.9075092490750925
full,Full feedback,gpt-5.6-sol,score_gain,Final minus baseline score,360,92,0.25555555555555554,43.73913043478261,34.25,9.48913043478261,-4.110484158320489,20.78434644396693,0.17131588703536194,-0.07305721003531968,0.3908974417845346,0.04282717221653239,-0.11276137032373514,0.2050731730098377,0.00892297303815174,-0.02335806120389061,0.04924744162958503,0.5242475752424758,120,27,0.9075092490750925
full,Full feedback,gpt-5.6-sol,mean_post_score,Mean score after baseline,360,92,0.25555555555555554,94.4336956521739,97.1518656716418,-2.7181700194679053,-6.449791527167958,0.5011157928459621,-0.16243244410903024,-0.32463533062711664,0.03540999053158071,0.04364586463789147,-0.0710545510287113,0.10507566156684402,0.029307099999833008,-0.0890083573462712,0.07975784641565963,0.6235376462353764,120,24,0.9075092490750925
full,Full feedback,claude-opus-4-8,baseline_score,Baseline score,356,18,0.05056179775280899,52.27777777777778,60.50887573964497,-8.231097961867192,-27.947044342183602,11.325987431922918,-0.07071058108688485,-0.22211100403294562,0.09117974350245556,0.15371426525876258,0.029241273859065747,0.2624426824231886,0.022978677924437557,0.002995638993704909,0.049950754665553605,0.057894210578942104,120,12,0.32420757924207577
full,Full feedback,claude-opus-4-8,final_score,Final score,356,18,0.05056179775280899,92.61111111111111,96.68343195266272,-4.072320841551601,-8.055248040158538,-0.20496096165738287,-0.11028742226007038,-0.1895806523797373,-0.006076354989129059,0.11976967294555466,-0.23310197051847423,0.415320757082601,0.05115190927475317,-0.1263592705488086,0.13941775361592978,0.4002599740025997,120,6,0.8391792399707397
full,Full feedback,claude-opus-4-8,score_gain,Final minus baseline score,356,18,0.05056179775280899,40.333333333333336,36.17455621301775,4.158777120315584,-12.662481819910049,21.191897338234654,0.037795493440072825,-0.10798551238339568,0.1785587697534844,-0.10595963279987264,-0.2693757450220787,0.10113454132069478,-0.015013442268077232,-0.041903002510377846,0.01374912224479571,0.24077592240775922,120,12,0.8391792399707397
full,Full feedback,claude-opus-4-8,mean_post_score,Mean score after baseline,356,18,0.05056179775280899,93.86666666666666,96.77218934911242,-2.9055226824457634,-6.032756223351944,0.2855168596130917,-0.090229363293153,-0.17899127636219792,0.008905848347186988,0.13254727430194066,-0.15252727483749545,0.3135198523728071,0.06527979616673663,-0.11716342950298433,0.13828591042360075,0.42645735426457354,120,10,0.8391792399707397
full,Full feedback,gemini-3.1-pro-preview,baseline_score,Baseline score,356,21,0.05898876404494382,52.0,60.12835820895523,-8.128358208955227,-21.83077958422175,10.89656107106874,-0.07437817244303702,-0.20472427435927548,0.08118427436287604,0.05914945832054712,-0.04052745228865216,0.1491246868308137,0.010348144621393938,-0.008289803696083304,0.025116226767755087,0.43965603439656037,120,16,0.9610675296106752
full,Full feedback,gemini-3.1-pro-preview,final_score,Final score,356,21,0.05898876404494382,95.9047619047619,96.42388059701493,-0.5191186922530306,-3.9461008622887674,3.859347076073824,-0.014918669881740546,-0.1462247225600717,0.09409766999130269,0.05623666494909156,-0.11213569661030472,0.25845777388580266,0.024297736162142942,-0.06352436977333906,0.15762176982145115,0.48335166483351666,120,5,0.9610675296106752
full,Full feedback,gemini-3.1-pro-preview,score_gain,Final minus baseline score,356,21,0.05898876404494382,43.904761904761905,36.2955223880597,7.609239516702203,-7.563624958414452,18.735643107989457,0.07396351920644194,-0.062540795901581,0.1951097935073288,-0.033379053940151136,-0.11414565177520887,0.06786119147092219,-0.005358180018487764,-0.018711122477645274,0.012216693726553431,0.6541345865413458,120,16,0.9610675296106752
full,Full feedback,gemini-3.1-pro-preview,mean_post_score,Mean score after baseline,356,21,0.05898876404494382,95.9095238095238,96.51701492537313,-0.6074911158493279,-4.499129571292309,3.37592386489479,-0.019697421008511358,-0.14127920351712225,0.09555198330264161,0.06441050207050669,-0.04868737937208953,0.2433640482472562,0.03398815408965006,-0.045851454686076154,0.21272862393489753,0.27577242275772423,120,11,0.9416391694163916
semi,Semi feedback,three-model-majority,baseline_score,Baseline score,352,17,0.048295454545454544,14.235294117647058,10.104477611940299,4.130816505706759,-5.300599126627631,17.9801486570408,0.042883337603097385,-0.05274099032702136,0.16264453233669313,0.06259756509208378,-0.06852495828631355,0.1986692015569703,0.006146596322286534,-0.006420341933819026,0.022205299658955856,0.35666433356664334,120,12,1.0
