detector,scope,expected_pairs,complete_pairs,tasks,static_rh,dynamic_rh,static_rate,dynamic_rate,paired_risk_difference,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,dynamic_only_discordant,static_only_discordant,mcnemar_exact_p,task_cluster_signflip_p
gpt-5.6-sol,semi,180,180,30,53,55,0.29444444444444445,0.3055555555555556,0.011111111111111112,-0.08888888888888889,0.11666666666666667,27,25,0.8898839652765371,0.9197080291970803
gpt-5.6-sol,full,180,180,30,34,58,0.18888888888888888,0.32222222222222224,0.13333333333333333,0.07222222222222222,0.2,27,3,8.430331945419312e-06,0.0005999400059994001
gpt-5.6-sol,base,180,180,30,47,64,0.2611111111111111,0.35555555555555557,0.09444444444444444,0.022222222222222223,0.17222222222222222,30,13,0.0137181850586785,0.0382961703829617
gpt-5.6-sol,diligent,180,180,30,40,49,0.2222222222222222,0.2722222222222222,0.05,-0.016666666666666666,0.11666666666666667,24,15,0.19959086691960692,0.20417958204179582
gpt-5.6-sol,semi-base,90,90,30,27,30,0.3,0.3333333333333333,0.03333333333333333,-0.08916666666666657,0.16666666666666666,14,11,0.6900379657745361,0.7426257374262574
gpt-5.6-sol,semi-diligent,90,90,30,26,25,0.28888888888888886,0.2777777777777778,-0.011111111111111112,-0.12222222222222222,0.1111111111111111,13,14,1.0,1.0
gpt-5.6-sol,full-base,90,90,30,20,34,0.2222222222222222,0.37777777777777777,0.15555555555555556,0.06666666666666667,0.25555555555555554,16,2,0.001312255859375,0.0052994700529947
gpt-5.6-sol,full-diligent,90,90,30,14,24,0.15555555555555556,0.26666666666666666,0.1111111111111111,0.044444444444444446,0.18888888888888888,11,1,0.00634765625,0.021497850214978503
claude-opus-4-8,pooled,360,353,30,14,13,0.039660056657223795,0.036827195467422094,-0.0028328611898017,-0.0196078431372549,0.014285714285714285,7,8,1.0,1.0
claude-opus-4-8,semi,180,177,30,6,3,0.03389830508474576,0.01694915254237288,-0.01694915254237288,-0.04,0.005714285714285714,2,5,0.453125,0.38036196380361964
claude-opus-4-8,full,180,176,30,8,10,0.045454545454545456,0.056818181818181816,0.011363636363636364,-0.016666666666666666,0.05172413793103448,5,3,0.7265625,1.0
claude-opus-4-8,base,180,176,30,10,11,0.056818181818181816,0.0625,0.005681818181818182,-0.028089887640449437,0.04,6,5,1.0,1.0
claude-opus-4-8,diligent,180,177,30,4,2,0.022598870056497175,0.011299435028248588,-0.011299435028248588,-0.03977272727272727,0.011494252873563218,1,3,0.625,0.7506249375062494
claude-opus-4-8,semi-base,90,88,30,5,3,0.056818181818181816,0.03409090909090909,-0.022727272727272728,-0.07865168539325842,0.033707865168539325,2,4,0.6875,0.6804319568043196
claude-opus-4-8,semi-diligent,90,89,30,1,0,0.011235955056179775,0.0,-0.011235955056179775,-0.03409090909090909,0.0,0,1,1.0,1.0
claude-opus-4-8,full-base,90,88,30,5,8,0.056818181818181816,0.09090909090909091,0.03409090909090909,-0.023255813953488372,0.11494252873563218,4,1,0.375,0.7453254674532547
claude-opus-4-8,full-diligent,90,88,30,3,2,0.03409090909090909,0.022727272727272728,-0.011363636363636364,-0.04597701149425287,0.023529411764705882,1,2,1.0,1.0
gemini-3.1-pro-preview,pooled,360,351,30,21,17,0.05982905982905983,0.04843304843304843,-0.011396011396011397,-0.03954802259887006,0.014326647564469915,13,17,0.584664711728692,0.5455454454554545
gemini-3.1-pro-preview,semi,180,175,30,9,8,0.05142857142857143,0.045714285714285714,-0.005714285714285714,-0.045454545454545456,0.03468208092485549,7,8,1.0,1.0
gemini-3.1-pro-preview,full,180,176,30,12,9,0.06818181818181818,0.05113636363636364,-0.017045454545454544,-0.05714285714285714,0.022727272727272728,6,9,0.60723876953125,0.5960403959604039
gemini-3.1-pro-preview,base,180,177,30,16,11,0.0903954802259887,0.062146892655367235,-0.02824858757062147,-0.07909604519774012,0.0223463687150838,9,14,0.4048728942871094,0.38006199380061995
gemini-3.1-pro-preview,diligent,180,174,30,5,6,0.028735632183908046,0.034482758620689655,0.005747126436781609,-0.01744186046511628,0.02976190476190476,4,3,1.0,1.0
gemini-3.1-pro-preview,semi-base,90,89,30,8,6,0.0898876404494382,0.06741573033707865,-0.02247191011235955,-0.1,0.056179775280898875,5,7,0.7744140625,0.7715228477152285
gemini-3.1-pro-preview,semi-diligent,90,86,30,1,2,0.011627906976744186,0.023255813953488372,0.011627906976744186,-0.023809523809523808,0.04878048780487805,2,1,1.0,1.0
gemini-3.1-pro-preview,full-base,90,88,30,8,5,0.09090909090909091,0.056818181818181816,-0.03409090909090909,-0.12359550561797752,0.04597701149425287,4,7,0.548828125,0.6205379462053795
gemini-3.1-pro-preview,full-diligent,90,88,30,4,4,0.045454545454545456,0.045454545454545456,0.0,-0.03409090909090909,0.033707865168539325,2,2,1.0,1.0
