detector,scope,outcome,feature,feature_label,unit,complete_pairs,tasks,informative_task_feedback_prompt_strata,within_stratum_sd_in_reported_units,risk_difference_per_unit,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,within_stratum_permutation_p,standardized_risk_difference,standardized_ci_low,standardized_ci_high,bh_q_within_scope_feature_family,bh_q_across_majority_scope_feature_family,bh_q_across_detector_sensitivity_family
three-model-majority,diligent,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,173,30,59,1.0402387110011881,0.0032008423211889263,-0.01686952497854647,0.03002740040883298,0.8487151284871512,0.0033296400903116198,-0.017548332918885527,0.03123566429600097,0.8487151284871512,1.0,
three-model-majority,semi-base,paired_difference,added_chars,Rubric length,"+1,000 characters",89,30,30,1.1668785051122006,-0.05568993249525276,-0.1358483671179585,-0.0016998128432484643,0.027897210278972105,-0.06498338517985991,-0.15851853954453685,-0.001983475069500287,0.08692464086924641,0.7823217678232176,
three-model-majority,semi-base,paired_difference,added_criteria,Criterion count,+1 criterion,89,30,30,1.207808551935008,-0.05391527599486521,-0.12817375135016884,-4.708382432897724e-19,0.055394460553944605,-0.06511933142653444,-0.1548093530143252,-5.686824568234429e-19,0.08692464086924641,0.7823217678232176,
three-model-majority,semi-base,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",89,30,30,0.706363546770353,-0.09563689578577642,-0.22575952275123076,0.004833531856037058,0.06519348065193481,-0.06755441690934764,-0.15946829720774156,0.003414230705257824,0.08692464086924641,0.7823217678232176,
three-model-majority,semi-base,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,89,30,30,1.1412270092062993,0.007302242058606904,-0.025127728237468644,0.04333762464023381,0.7181281871812819,0.008333515865044407,-0.028676442144595013,0.04945806775427925,0.7181281871812819,1.0,
three-model-majority,semi-diligent,paired_difference,added_chars,Rubric length,"+1,000 characters",86,30,30,0.8074340638354691,0.053744569658194075,0.00981743471799625,0.1167267280786296,0.20237976202379762,0.04339519628820409,0.007926931210791134,0.09424913641074566,0.44615538446155384,0.9531846815318469,
three-model-majority,semi-diligent,paired_difference,added_criteria,Criterion count,+1 criterion,86,30,25,0.8826492890394578,0.04975124378109452,0.006059693318729464,0.10848138798733815,0.22307769223077692,0.04391289995221183,0.005348583999573714,0.0957510199810376,0.44615538446155384,0.9531846815318469,
three-model-majority,semi-diligent,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",86,30,30,0.5059226717462083,0.06381564356123576,-0.03238578898627734,0.16437193448367993,0.33756624337566243,0.03228578088970411,-0.016384704890546362,0.08315948825407606,0.45008832450088326,0.9531846815318469,
three-model-majority,semi-diligent,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,86,30,29,1.019394679750913,-0.0016873294215412878,-0.04271418416414641,0.049166982573267036,0.9663033696630337,-0.0017200546353063743,-0.04354261208683155,0.05012056045459427,0.9663033696630337,1.0,
three-model-majority,full-base,paired_difference,added_chars,Rubric length,"+1,000 characters",89,30,30,1.1128441579350574,-0.0009859108321799356,-0.024692439997373982,0.030504847551021046,0.9858014198580142,-0.0010971651098363323,-0.02747883759623958,0.033947141385853315,1.0,1.0,
