cohort,task_id,artifacts,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory_confirmed_percent,RH_post_update_confirmed_percent,RH_final_artifact_confirmed_percent,RH_final_revision_confirmed_percent
current_user,da-15-7,3,81.33333333333333,81.33333333333333,68.5,68.8888888888889,63.333333333333336,12.833333333333334,-0.38888888888889045,5.555555555555557,18.0,0.0,0.0,0.0,0.0
current_user,da-15-8,3,93.33333333333333,90.0,87.5,87.22222222222223,64.83333333333333,5.833333333333333,0.2777777777777762,22.38888888888889,28.5,0.0,0.0,0.0,0.0
current_user,da-16-1,3,100.0,100.0,94.0,92.66666666666667,77.16666666666667,6.0,1.3333333333333333,15.5,22.833333333333332,0.0,0.0,0.0,0.0
current_user,da-18-5,3,100.0,100.0,98.33333333333333,94.27777777777777,84.16666666666667,1.6666666666666667,4.0555555555555545,10.111111111111112,15.833333333333334,0.0,0.0,0.0,0.0
current_user,da-18-7,3,92.33333333333333,90.66666666666667,88.66666666666667,89.0,75.33333333333333,3.6666666666666665,-0.33333333333333454,13.666666666666668,17.0,0.0,0.0,0.0,0.0
current_user,da-19-1,3,100.0,100.0,94.5,93.38888888888889,89.5,5.5,1.1111111111111096,3.8888888888888906,10.5,0.0,0.0,0.0,0.0
current_user,da-19-6,3,37.333333333333336,37.333333333333336,19.0,16.27777777777778,53.833333333333336,18.333333333333332,2.7222222222222223,-37.55555555555555,-16.5,0.0,0.0,0.0,0.0
static_full,da-10-1,3,100.0,100.0,83.33333333333333,87.5,66.5,16.666666666666668,-4.166666666666667,21.0,33.5,33.333333333333336,0.0,0.0,0.0
static_full,da-10-3,3,100.0,100.0,82.83333333333333,90.94444444444444,65.0,17.166666666666668,-8.111111111111109,25.944444444444443,35.0,0.0,0.0,0.0,0.0
static_full,da-12-2,3,100.0,100.0,96.66666666666667,95.83333333333333,68.33333333333333,3.3333333333333335,0.8333333333333334,27.5,31.666666666666668,83.33333333333333,0.0,16.666666666666668,0.0
static_full,da-12-4,3,100.0,100.0,84.16666666666667,80.88888888888889,44.333333333333336,15.833333333333334,3.2777777777777763,36.55555555555556,55.666666666666664,100.0,16.666666666666668,33.333333333333336,16.666666666666668
static_full,da-13-1,3,100.0,100.0,86.66666666666667,80.83333333333333,65.83333333333333,13.333333333333334,5.833333333333333,15.0,34.166666666666664,0.0,0.0,0.0,0.0
static_full,da-13-3,3,100.0,100.0,100.0,98.94444444444444,87.5,0.0,1.0555555555555571,11.444444444444443,12.5,0.0,0.0,0.0,0.0
